function,class,u_variant,probability_variant_lower,p_raw,p_bonferroni,decision
1,basic,66.5,0.97443291041906954,1.5102979315898003e-16,4.3798640016104211e-15,variant better
3,basic,918,0.64705882352941169,0.00014996687826108484,0.0043490394695714606,variant better
4,basic,715.5,0.72491349480968859,1.8305078314727014e-06,5.3084727112708343e-05,variant better
5,basic,2418,0.070357554786620535,4.8915677840611257e-14,1.4185546573777264e-12,MSC-CMA-ES better
6,basic,1868,0.28181468665897735,0.00014778332676419366,0.0042857164761616164,MSC-CMA-ES better
7,basic,1114,0.57170319108035372,0.21318149484439741,1,not significant
8,basic,2572,0.011149557862360604,1.002819085757788e-17,2.9081753486975853e-16,MSC-CMA-ES better
9,basic,1175.5,0.54805843906189922,0.35961498969771821,1,not significant
10,basic,2439.5,0.062091503267973858,2.5398798955028453e-14,7.3656516969582509e-13,MSC-CMA-ES better
11,hybrid,2592,0.0034602076124568004,5.0632816399219008e-18,1.4683516755773512e-16,MSC-CMA-ES better
12,hybrid,1502.5,0.42233756247597076,0.17746316059982936,1,not significant
13,hybrid,1381,0.4690503652441369,0.59236182266304416,1,not significant
14,hybrid,2464,0.052672049211841654,7.0478998458336793e-15,2.043890955291767e-13,MSC-CMA-ES better
15,hybrid,2348,0.09727028066128407,2.43022434882091e-12,7.0476506115806395e-11,MSC-CMA-ES better
16,hybrid,1351,0.48058439061899272,0.73790016249377999,1,not significant
17,hybrid,2180,0.16186082276047675,4.0316449151835588e-09,1.1691770254032321e-07,MSC-CMA-ES better
18,hybrid,1859,0.28527489427143404,0.00018806555311745891,0.0054539010404063082,MSC-CMA-ES better
19,hybrid,2311,0.11149557862360626,1.3834036494556768e-11,4.0118705834214628e-10,MSC-CMA-ES better
20,hybrid,2455,0.056132256824298343,1.1328100097582476e-14,3.2851490282989179e-13,MSC-CMA-ES better
21,composition,705.5,0.7287581699346406,6.7758657255447371e-05,0.0019650010604079738,variant better
22,composition,1357,0.47827758554402156,0.70757399152444544,1,not significant
23,composition,898.5,0.65455594002306805,0.0072060789138586019,0.20897628850189945,not significant
24,composition,912,0.64936562860438296,0.009406859174348612,0.27279891605610973,not significant
25,composition,1166,0.55171088043060368,0.36981348838161032,1,not significant
26,composition,856.5,0.67070357554786619,0.0029948497841389508,0.086850643740029571,not significant
27,composition,2344.5,0.098615916955017258,2.8054654344894705e-12,8.1358497600194649e-11,MSC-CMA-ES better
28,composition,828.5,0.68146866589773158,0.0016013753901741633,0.046439886315050735,variant better
29,composition,2323,0.10688196847366394,7.9222538658243843e-12,2.2974536210890715e-10,MSC-CMA-ES better
30,composition,1282.5,0.50692041522491349,0.90675546579860777,1,not significant
